"Id","btw","title","group"
"21",25264.005739082,"The Time Machine","DVD"
"3464",24780.7830562433,"Ultimate Sniper","Video"
"7628",24362.5221065948,"Stories for a Teacher's Heart (Stories For the Heart)","Book"
"93",17461.1991779337,"BizPricer¿ Business Valuation Manual w/Software","Book"
"8",17244.0321123199,"Losing Matt Shepard","Book"
"9106",16306.2697588496,"A Touch Of Tranquility","Music"
"481",14776.5734080183,"A Major Case: A Novel by Pete Deer","Book"
"2501",13479.2480496418,"The Narcissistic Family : Diagnosis and Treatment","Book"
"10434",12999.1086391414,"Rainbow Palace","Music"
"297",12883.9086391414,"The Rurouni Kenshin NB: 6","Book"
"2875",12850.7540574576,"The Wall","Music"
"33",11866.7547620571,"Double Jeopardy (T*Witches, 6)","Book"
"4429",10333.4825309284,"Harley-Davidson Panheads, 1948-1965/M418","Book"
"18",9780.82603345285,"Sol to Soul","Music"
"7611",7402.39067250811,"Barney - More Barney Songs (Clamshell)","Video"
"6932",6262.93661144666,"The Cheyenne Social Club","Video"
"5737",6227.09927608287,"Writing and Defending a Thesis or Dissertation in Psychology and Education","Book"
"1241",5904.61529454187,"Accessible Physics","Book"
"151",5681.16203472496,"Laurel & Hardy - Flying Deuces/Utopia","DVD"
"12276",5665.18312079243,"Trash Culture: Popular Culture and the Great Tradition","Book"
"4248",5566.03300114072,"Housebound With Rick Geary","Book"
"20860",5143.5828417244,"A History of Modern Computing (History of Computing)","Book"
"13304",5132.40424741403,"Whodunit Math Puzzles","Book"
"12219",4311.12437480916,"The Plot to Kill Hitler","Video"
"36623",4304.89260072962,"Japanese (Teach Yourself)","Book"
"445",4303.9867554779,"An Affair of Sorcerers","Book"
"450",4227.4095367455,"The Exorcist","Book"
"512",4200.71392577209,"Flavors of St. Augustine: An Historic Cookbook","Book"
"7701",4152.63697845389,"Doing Science + Culture","Book"
"302",3842.09778414337,"Slowing Down to the Speed of Life: How To Create A More Peaceful, Simpler Life From the Inside Out","Book"
"429",3839.39835421192,"R.E.M. : Talk About the Passion : An Oral History (Updated Edition)","Book"
"2353",3799.90974152613,"Committed","Music"
"5765",3629.25169397787,"Chiefs","Book"
"479",3584.8355317149,"How to Build & Power Tune Su Carburettors (Speedpro)","Book"
"420",3232.4,"The Oxford English-Arabic Dictionary of Current Usage","Book"
"10519",2850.33333333333,"Pilgrim","Music"
"4935",2847.33333333333,"The Seeking Self: The Quest for Self Improvement and the Creation of Personal Suffering","Book"
"15934",2838.14285714286,"Designing CMOS Circuits for Low Power (European Low-Power Initiative for Electronic System Design (Series).)","Book"
"12615",2835,"My Louisiana Sky","DVD"
"6383",2815.52719842019,"Chinese Kara-Ho Kempo: Fundamental Practice and Techniques","Book"
"37503",2775.72019187807,"ESPN SportsCentury","Book"
"11593",2683.92672186266,"Death of a Peer (A Roderick Alleyn Mystery)","Book"
"3845",2650.07186713824,"Celebrate Christmas through the Years (Christ In the Carols Gift Box)","Book"
"7303",2640.22353501414,"Everyone's Way of the Cross","Book"
"8459",2535.60145485277,"Declassfied Grooves","Music"
"21387",2436,"Full Dress Gray (Full Dress Gray)","Book"
"7161",2348.29776503154,"The Silver Trumpet","Book"
"194",2299.344944091,"Viva La Monkeysuit","Book"
"626",2295.76848199064,"Wong's Essentials of Pediatric Nursing (Workbook)","Book"
"6441",2202.46735147506,"World War II Nose Art in Color (Enthusiast Color Series)","Book"
