"Id","deg","title","group"
"14949",425,"Fodor's Australia 2000","Book"
"4429",409,"Harley-Davidson Panheads, 1948-1965/M418","Book"
"33",366,"Double Jeopardy (T*Witches, 6)","Book"
"10519",339,"Pilgrim","Music"
"12771",335,"Jorge Negrete","Book"
"8",298,"Losing Matt Shepard","Book"
"297",280,"The Rurouni Kenshin NB: 6","Book"
"481",280,"A Major Case: A Novel by Pete Deer","Book"
"5737",277,"Writing and Defending a Thesis or Dissertation in Psychology and Education","Book"
"9106",232,"A Touch Of Tranquility","Music"
"8939",226,"Gene Chandler - 20 Greatest Hits","Music"
"93",224,"BizPricer¿ Business Valuation Manual w/Software","Book"
"1241",223,"Accessible Physics","Book"
"5765",214,"Chiefs","Book"
"2501",196,"The Narcissistic Family : Diagnosis and Treatment","Book"
"99",193,"An Employee's Guide to Stock Options","Book"
"3661",186,"Radiographic Anatomy and Positioning","Book"
"2353",184,"Committed","Music"
"244",184,"Phonics Pathways","Book"
"17525",180,"Value-Based Marketing for Bottom-Line success : 5 Steps to Creating Customer Value","Book"
"5913",178,"A Race Is a Nice Thing to Have: A Guide to Being a White Person or Understanding the White Persons in Your Life","Book"
"18",177,"Sol to Soul","Music"
"80341",176,"Gagana Samoa: A Samoan Language Coursebook","Book"
"33399",171,"In The Year 2525 (millennium megamix)","Music"
"13304",169,"Whodunit Math Puzzles","Book"
"16340",167,"Histeriha","Music"
"626",166,"Wong's Essentials of Pediatric Nursing (Workbook)","Book"
"3673",165,"Linguistic Imperialism (Oxford Applied Linguistics S.)","Book"
"1964",164,"Gourmet Vinegars: How to Make and Cook With Them","Book"
"303",163,"Singin' Some Soul","Music"
"31037",163,"Lyrical Ballads and Related Writings (New Riverside Editions)","Book"
"15934",155,"Designing CMOS Circuits for Low Power (European Low-Power Initiative for Electronic System Design (Series).)","Book"
"7303",155,"Everyone's Way of the Cross","Book"
"9131",149,"Brazil Forró: Music for Maids and Taxi Drivers","Music"
"12615",147,"My Louisiana Sky","DVD"
"7153",143,"Handbook of Psychological Assessment","Book"
