"Id","btw","title","group"
"7628",15547.3912121749," Stories for a Teacher's Heart (Stories For the Heart)"," Book"
"3464",15177.9302796876," Ultimate Sniper"," Video"
"21",15118.7836533401," The Time Machine"," DVD"
"9106",9820.2643155751," A Touch Of Tranquility"," Music"
"481",9400.91897155026," A Major Case: A Novel by Pete Deer"," Book"
"7611",6741.74143140014," Barney - More Barney Songs (Clamshell)"," Video"
"18",6067.60180851214," Sol to Soul"," Music"
"33",5561.35430454697," Double Jeopardy (T*Witches, 6)"," Book"
"4429",5416.80324078218," Harley-Davidson Panheads, 1948-1965/M418"," Book"
"8",5079.66134017184," Losing Matt Shepard"," Book"
"1241",4198.35120863528," Accessible Physics"," Book"
"36623",3393.89806669938," Japanese (Teach Yourself)"," Book"
"445",3066.95137128627," An Affair of Sorcerers"," Book"
"13304",2771.88701163409," Whodunit Math Puzzles"," Book"
"93",2626.97004234235," BizPricer¿ Business Valuation Manual w/Software"," Book"
"151",2528.07646985718," Laurel & Hardy - Flying Deuces/Utopia"," DVD"
"5737",2127.39757187257," Writing and Defending a Thesis or Dissertation in Psychology and Education"," Book"
"2501",2012.20581399838," The Narcissistic Family : Diagnosis and Treatment"," Book"
"9119",1896," Shades of Redd"," Music"
"37503",1756.09730109072," ESPN SportsCentury"," Book"
"8459",1548.44139111451," Declassfied Grooves"," Music"
"12276",1544.54499211212," Trash Culture: Popular Culture and the Great Tradition"," Book"
"2875",1434," The Wall"," Music"
"83687",1398.47584637585," Chocolate Is My Kryptonite: Feeding Your Feelings How to Survive the Forces of Food"," Book"
"7303",1358.50470494743," Everyone's Way of the Cross"," Book"
"429",1281.52498531382," R.E.M. : Talk About the Passion : An Oral History (Updated Edition)"," Book"
"14949",1208," Fodor's Australia 2000"," Book"
"8939",1208," Gene Chandler - 20 Greatest Hits"," Music"
"12615",1200," My Louisiana Sky"," DVD"
"12257",1167.85811536368," La vida de Lazarillo de Tormes y de sus fortunas y adversidades"," Book"
"303",1103.01791823768," Singin' Some Soul"," Music"
"5765",1081.21143426701," Chiefs"," Book"
"449",1070.14798236895," Audubon 365 Birds Page-A-Day Calendar 2002"," Book"
"6383",1038.5587224103," Chinese Kara-Ho Kempo: Fundamental Practice and Techniques"," Book"
"4697",1018.52390729681," Logic, or the Right Use of Reason in the Inquiry After Truth With a Variety of Rules to Guard Against Error in the Affairs of Religion and Human Life, (Great Awakening Writings (1725-1760))"," Book"
"302",984.414146076033," Slowing Down to the Speed of Life: How To Create A More Peaceful, Simpler Life From the Inside Out"," Book"
"10519",969," Pilgrim"," Music"
"9626",965.333333333333," Let's Dance [ECD]"," Music"
"420",964.4," The Oxford English-Arabic Dictionary of Current Usage"," Book"
"194",843.166666666667," Viva La Monkeysuit"," Book"
"7608",825.4," Sarai, Volume 6"," Book"
"41464",798.278581009152," Modern Control Technology: Components and Systems"," Book"
"4248",729.244059796782," Housebound With Rick Geary"," Book"
"2353",728.025661974155," Committed"," Music"
"28970",728," Atlas of the 20th Century  Atlas"," Book"
"450",728," The Exorcist"," Book"
"4935",728," The Seeking Self: The Quest for Self Improvement and the Creation of Personal Suffering"," Book"
"1079",727.88149503556," A Dictionary of Birds"," Book"
"9332",726," Marvel: The Characters and Their Universe : Collectors"," Book"
"23",712.256708992163," Strange Fire: A Novel"," Book"
"8458",704.731106466632," Making Their Own Way: Narratives for Transforming Higher Education to Promote Self-Development"," Book"
"1824",658.077741702742," Asian Traditions Modern Expressions"," Book"
"10745",615.041390798745," Popeye - The Sailor: When Popeye Ruled the Seven Seas"," Video"
"36220",603.5,NA,NA
"5735",603.262924533209," Living Naked and Frugal: A Handbook for Parsimonious Nudity"," Book"
"7604",603.099999999999," Matter and Interactions II : Electric & Magnetic Interactions"," Book"
"7153",521.166666666666," Handbook of Psychological Assessment"," Book"
"30",516.489941319759," Solving Statics Problems with MathCAD"," Book"
"4931",508.69343279586," The Model Engineer's Handbook"," Book"
"2609",493.715151515152," Mystery at Chilkoot Pass (American Girl History Mysteries)"," Book"
"15934",486.166666666667," Designing CMOS Circuits for Low Power (European Low-Power Initiative for Electronic System Design (Series).)"," Book"
"976",486," Hell House"," Book"
"594",464.969192000486," Nat King Cole Trio: Instrumental Classics"," Music"
"1963",462.986081126227," The Bishop's Boys: A Life of Wilbur and Orville Wright"," Book"
"331",447.579941221163," Practical Skywatching (Nature Companion Series)"," Book"
"9405",442.166666666668," The ""Unknown"" Reality, Vol. 1: A Seth Book"," Book"
"10959",433.9," Saturday (+1 Bonus Track)"," Music"
"97",367.748744223687," Year of the Tiger"," Book"
"99",360.914178751552," An Employee's Guide to Stock Options"," Book"
"9955",322.382226107226," Cultures of Natural History"," Book"
"10521",314.101933300618,NA,NA
"447",294.331988562499," I Hate Stanford: 303 Reasons Why You Should, Too (I Hate...)"," Book"
"10018",289.1," Love Songs of Al Webber"," Music"
"35",285.222954165719," Burnt Toast on Davenport Street"," Book"
"20",276.458212233762," Computed Tomography : Fundamentals, System Technology, Image Quality, Applications"," Book"
"5120",273.595720049285," Tae Kwon Do for Women"," Book"
"176",255.342766972059," Avengers '67 - Set 1, Vols. 1 & 2"," DVD"
"4777",247.193964887347," Never Love a Cowboy"," Book"
"2563",247.193964887347," Blind Descent: : An Anna Pigeon Mystery (Anna Pigeon Mysteries (Paperback))"," Book"
"10517",245.685653235653," Yu Yu Hakusho"," Video"
"342",244.666666666667," Clinical Reflexology: A Guide for Health Professionals"," Book"
"1662",244.285714285714," St. Ignatius' Own Story"," Book"
"13999",244," Best of"," Music"
"16773",244," Science Experiments You Can Eat : Revised Edition"," Book"
"469",244," Bird Songs"," Music"
"5815",244," Luna"," Music"
"78",244," The Ebony Cookbook: A Date With a Dish"," Book"
"20899",244," Another Joyous Occasion"," Music"
"30171",244," My Book of Love"," Music"
"35266",244," Requiem, K626, in Full Score (Dover Miniature Scores)"," Book"
"3845",244," Celebrate Christmas through the Years (Christ In the Carols Gift Box)"," Book"
"95278",244," Meditation: A Simple Eight Point Program for Translating Spiritual Ideals into Daily Life"," Book"
"9628",244," Lodger"," Music"
"9253",244," The Honeymooners - The Lost Episodes, Vol. 20"," DVD"
"517",232.077403151733," Sacred Steel Live!"," Music"
"210",230.886682310438," Farewell, Nikola"," Book"
"3589",230.803063196063," I Was Aboard a Ufo"," Book"
"7304",220.223756857762," Chopin: Highlights from the 24 Preludes"," Music"
"518",219.950030113475," Jazz Steppin'"," Music"
"24258",209.37613323735," When Rappers Attack"," Music"
